"filename", "language", "C++", "CMake Cache", "CMake", "JSON", "Markdown", "Log", "Makefile", "C", "TypeScript", "comment", "blank", "total"
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/media/homogeneous.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 31
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/medium.cpp", "C++", 164, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 188
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/medium.h", "C++", 55, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 78
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/memory.cpp", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/memory.h", "C++", 136, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 158
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/microfacet.cpp", "C++", 227, 0, 0, 0, 0, 0, 0, 0, 0, 44, 44, 315
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/microfacet.h", "C++", 71, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 100
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/onb.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 42
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/parallel.cpp", "C++", 211, 0, 0, 0, 0, 0, 0, 0, 0, 60, 52, 323
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/parallel.h", "C++", 55, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 78
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/paramset.cpp", "C++", 689, 0, 0, 0, 0, 0, 0, 0, 0, 25, 71, 785
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/paramset.h", "C++", 166, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 191
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/pbrt.h", "C++", 308, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 371
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/pdf.h", "C++", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 101
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/primitive.cpp", "C++", 115, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 118
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/primitive.h", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 94
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/progressreporter.cpp", "C++", 96, 0, 0, 0, 0, 0, 0, 0, 0, 38, 14, 148
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/progressreporter.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 49
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/quaternion.cpp", "C++", 60, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 72
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/quaternion.h", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 87
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/reflection.cpp", "C++", 606, 0, 0, 0, 0, 0, 0, 0, 0, 70, 101, 777
